act_time,eqpid,chid,side,ppid,foupid,slotid,sh_dist_delta,Teos_factor_delta,avg_thk,range_thk,stress_thk,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,title,work_order,group,group_order,pressure_delta,pm_count,sh_count
2026-07-01 11:40:07,E01,CH01,1,PPID_C,F0001,8,-14,-0.02,7374.5,185.4,-163.4,7434.6,7388.9,7441.7,7471.0,7285.6,7323.2,7360.9,7316.8,7379.8,7386.6,7305.6,7324.8,7448.8,Chamber PM,WO-E01-001,2026-07-01 11:40:07_E01_Chamber PM,start,0,1,4
2026-07-01 11:40:07,E01,CH01,2,PPID_C,F0001,9,19,-0.02,7412.6,393.0,-163.6,7436.6,7434.0,7132.9,7321.3,7465.6,7334.2,7513.7,7525.9,7465.3,7329.3,7453.5,7439.7,7512.4,Chamber PM,WO-E01-001,2026-07-01 11:40:07_E01_Chamber PM,start,0,1,4
2026-07-01 14:20:25,E02,CH03,1,PPID_A,F0002,7,0,0.04,7639.9,616.1,-154.8,7674.2,7688.0,7603.3,7366.3,7738.5,7608.3,7694.3,7504.7,7432.2,7487.6,7605.7,7933.8,7982.4,가스 라인 점검,WO-E02-001,2026-07-01 14:20:25_E02_가스 라인 점검,start,0,1,3
2026-07-01 14:20:25,E02,CH03,2,PPID_A,F0002,8,7,0.04,7691.8,1391.9,-180.4,8171.6,7603.4,7116.8,7875.8,7182.5,8167.4,8508.7,7204.1,7299.9,8373.4,7514.1,7423.0,7553.3,가스 라인 점검,WO-E02-001,2026-07-01 14:20:25_E02_가스 라인 점검,start,0,1,0
2026-07-01 17:08:42,E03,CH03,1,PPID_B,F0003,9,7,0.03,7692.7,580.7,-178.1,7649.0,7502.8,7900.0,7596.1,7981.2,7746.2,7695.6,7639.5,7582.0,7914.7,7400.5,7665.9,7731.3,센서 교정,WO-E03-001,2026-07-01 17:08:42_E03_센서 교정,start,0,3,1
2026-07-01 17:08:42,E03,CH03,2,PPID_B,F0003,10,7,0.03,7675.2,717.3,-181.6,7923.3,7568.5,7551.4,7726.5,7719.5,7735.1,7855.5,7778.1,7206.0,7598.7,7592.9,7668.3,7853.5,센서 교정,WO-E03-001,2026-07-01 17:08:42_E03_센서 교정,start,0,3,4
2026-07-01 20:24:16,E04,CH03,1,PPID_C,F0004,14,11,0.03,7384.6,687.1,-174.0,7118.3,7445.8,7034.0,7524.3,7638.6,7590.3,7527.9,7645.3,7227.5,7323.0,6958.2,7411.5,7554.6,전극 교체,WO-E04-001,2026-07-01 20:24:16_E04_전극 교체,start,0,0,3
2026-07-01 20:24:16,E04,CH03,2,PPID_C,F0004,15,0,0.03,7632.3,134.7,-175.8,7665.1,7671.9,7662.3,7631.0,7648.9,7568.2,7649.4,7654.9,7570.6,7649.5,7638.9,7671.7,7537.2,전극 교체,WO-E04-001,2026-07-01 20:24:16_E04_전극 교체,start,0,0,1
2026-07-01 23:21:13,E05,CH03,1,PPID_D,F0005,9,7,-0.05,7405.9,848.4,-191.5,7614.8,7362.6,7219.2,7301.0,7430.4,7457.9,7294.9,7422.5,7490.6,7359.7,7239.4,7117.8,7966.2,Chamber 세정,WO-E05-001,2026-07-01 23:21:13_E05_Chamber 세정,start,0,4,3
2026-07-01 23:21:13,E05,CH03,2,PPID_D,F0005,10,6,-0.05,7274.9,450.7,-193.3,7197.3,7385.8,7125.1,7440.4,7407.3,7327.4,7152.2,7278.7,7285.8,7462.2,7027.4,7016.6,7467.3,Chamber 세정,WO-E05-001,2026-07-01 23:21:13_E05_Chamber 세정,start,0,4,3
2026-07-02 02:37:16,E06,CH01,1,PPID_A,F0006,20,0,0.01,7404.5,191.9,-171.9,7399.1,7455.0,7466.8,7303.7,7447.2,7495.6,7352.2,7347.9,7333.8,7416.2,7397.0,7426.6,7417.2,부품 교체,WO-E06-001,2026-07-02 02:37:16_E06_부품 교체,start,0,1,6
2026-07-02 02:37:16,E06,CH01,2,PPID_A,F0006,21,-20,0.01,7426.5,947.1,-172.3,7272.5,7134.8,7521.3,7724.1,7321.3,7266.0,7164.1,7435.0,7598.4,7964.4,7588.4,7017.3,7537.5,부품 교체,WO-E06-001,2026-07-02 02:37:16_E06_부품 교체,start,0,1,4
2026-07-02 05:25:15,E07,CH02,1,PPID_A,F0007,4,13,0.01,7477.0,669.0,-177.0,7593.6,7574.1,7218.0,7742.6,7564.3,7221.5,7633.4,7772.5,7491.3,7236.9,7398.6,7650.5,7103.5,정기 예방 보전,WO-E07-001,2026-07-02 05:25:15_E07_정기 예방 보전,start,0,1,5
2026-07-02 05:25:15,E07,CH02,2,PPID_A,F0007,5,4,0.01,7395.8,249.4,-171.9,7537.6,7374.3,7441.4,7311.6,7354.4,7405.4,7419.4,7512.9,7288.2,7344.7,7372.4,7378.2,7404.9,정기 예방 보전,WO-E07-001,2026-07-02 05:25:15_E07_정기 예방 보전,start,0,1,4
2026-07-02 08:10:53,E08,CH03,1,PPID_B,F0008,20,5,0.03,7342.9,201.1,-156.1,7358.8,7311.4,7276.5,7322.4,7397.4,7297.2,7323.5,7309.0,7467.2,7371.7,7295.8,7461.0,7266.1,Chamber PM,WO-E08-001,2026-07-02 08:10:53_E08_Chamber PM,start,0,5,5
2026-07-02 08:10:53,E08,CH03,2,PPID_B,F0008,21,-10,0.03,7336.7,589.3,-170.2,7314.7,7257.2,7534.3,7479.3,7208.9,7024.9,7126.0,7235.1,7614.2,7288.5,7305.1,7592.4,7396.3,Chamber PM,WO-E08-001,2026-07-02 08:10:53_E08_Chamber PM,start,0,5,5
2026-07-02 11:27:23,E09,CH03,1,PPID_B,F0009,14,-3,-0.03,7579.7,573.0,-165.8,7738.9,7379.9,7778.0,7545.9,7326.2,7483.0,7502.1,7818.6,7550.9,7899.2,7480.6,7575.1,7457.9,가스 라인 점검,WO-E09-001,2026-07-02 11:27:23_E09_가스 라인 점검,start,0,3,2
2026-07-02 11:27:23,E09,CH03,2,PPID_B,F0009,15,8,-0.03,7507.1,665.5,-176.4,7539.2,7348.6,7463.0,7631.1,7354.4,7636.8,7789.4,7123.9,7508.8,7132.9,7713.6,7607.6,7742.7,가스 라인 점검,WO-E09-001,2026-07-02 11:27:23_E09_가스 라인 점검,start,0,3,2
2026-07-02 14:00:45,E10,CH02,1,PPID_C,F0010,2,-12,-0.05,7530.8,325.0,-178.8,7570.2,7632.0,7508.7,7699.4,7462.2,7542.5,7605.1,7374.4,7464.2,7519.2,7559.3,7505.2,7457.8,센서 교정,WO-E10-001,2026-07-02 14:00:45_E10_센서 교정,start,0,1,3
2026-07-02 14:00:45,E10,CH02,2,PPID_C,F0010,3,-14,-0.05,7560.8,184.6,-165.0,7517.1,7628.2,7648.2,7522.8,7550.1,7551.2,7487.0,7621.2,7463.6,7501.7,7645.9,7633.1,7520.5,센서 교정,WO-E10-001,2026-07-02 14:00:45_E10_센서 교정,start,0,1,3
2026-07-02 17:36:58,E11,CH03,1,PPID_D,F0011,4,5,0.02,7735.3,736.8,-166.1,7831.0,7690.9,7972.8,7827.8,8193.2,7456.4,7879.5,7699.5,7723.7,7594.2,7581.1,7628.7,7480.1,전극 교체,WO-E11-001,2026-07-02 17:36:58_E11_전극 교체,start,0,1,3
2026-07-02 17:36:58,E11,CH03,2,PPID_D,F0011,5,-2,0.02,7582.9,709.5,-179.7,7292.8,7629.7,7681.1,7585.1,7577.8,7829.1,7679.8,7536.7,7614.2,7481.9,8002.3,7312.6,7354.3,전극 교체,WO-E11-001,2026-07-02 17:36:58_E11_전극 교체,start,0,1,6
2026-07-02 20:26:05,E12,CH02,1,PPID_A,F0012,15,-11,-0.04,7572.3,583.4,-176.2,7796.4,7213.0,7300.5,7787.4,7626.9,7462.2,7724.4,7491.4,7491.3,7775.3,7670.5,7698.2,7402.7,Chamber 세정,WO-E12-001,2026-07-02 20:26:05_E12_Chamber 세정,start,0,4,5
2026-07-02 20:26:05,E12,CH02,2,PPID_A,F0012,16,-5,-0.04,7482.9,760.7,-163.0,7552.0,7445.6,7216.5,7809.3,7048.6,7302.6,7565.2,7341.9,7659.6,7327.3,7707.3,7749.7,7551.8,Chamber 세정,WO-E12-001,2026-07-02 20:26:05_E12_Chamber 세정,start,0,4,2
2026-07-02 23:43:54,E13,CH03,1,PPID_C,F0013,21,-18,0.02,7651.4,362.8,-162.0,7697.3,7707.7,7624.2,7599.0,7834.6,7702.4,7538.6,7723.0,7720.5,7775.6,7568.4,7471.8,7505.4,부품 교체,WO-E13-001,2026-07-02 23:43:54_E13_부품 교체,start,0,4,4
2026-07-02 23:43:54,E13,CH03,2,PPID_C,F0013,22,9,0.02,7688.6,345.9,-164.0,7641.7,7618.2,7649.1,7747.8,7663.9,7713.9,7811.1,7649.8,7926.5,7580.6,7670.8,7594.0,7684.7,부품 교체,WO-E13-001,2026-07-02 23:43:54_E13_부품 교체,start,0,4,4
2026-07-03 02:38:51,E14,CH03,1,PPID_B,F0014,21,-12,-0.02,7516.1,752.9,-154.4,7364.8,7633.5,7509.4,7867.4,7114.5,7448.6,7633.2,7450.6,7669.0,7280.1,7637.8,7580.8,7520.0,정기 예방 보전,WO-E14-001,2026-07-03 02:38:51_E14_정기 예방 보전,start,0,2,4
2026-07-03 02:38:51,E14,CH03,2,PPID_B,F0014,22,-20,-0.02,7375.2,2050.5,-184.6,6547.3,7176.4,7855.4,7038.9,7586.0,7137.5,7200.2,7365.0,7031.1,8597.8,7753.8,7164.1,7423.7,정기 예방 보전,WO-E14-001,2026-07-03 02:38:51_E14_정기 예방 보전,start,0,2,2
2026-07-03 05:26:41,E15,CH01,1,PPID_D,F0015,20,-3,0.01,7619.0,356.6,-195.0,7606.0,7545.3,7736.8,7597.0,7813.8,7797.8,7492.6,7457.2,7622.3,7685.2,7591.6,7493.4,7608.6,Chamber PM,WO-E15-001,2026-07-03 05:26:41_E15_Chamber PM,start,0,3,3
